date,low,open,close,high,adjusted_close,volume,ticker,industry
2019-07-01,78.84,80.91,79.92,80.98,70.373,1814928,PLD,REIT
2019-07-02,80.01,80.29,81.59,81.68,71.8436,2428495,PLD,REIT
2019-07-03,81.72,81.83,82.6,82.6,72.7329,1193272,PLD,REIT
2019-07-05,80.66,82.2,82.43,82.99,72.5832,1565572,PLD,REIT
2019-07-08,81.74,82.2,82.31,82.35,72.4775,1847417,PLD,REIT
2019-07-09,81.885,82.3,82.62,82.82,72.7505,1928966,PLD,REIT
2019-07-10,82.52,83.45,83.02,83.99,73.1027,2343598,PLD,REIT
2019-07-11,80.55,83.0,81.02,83.1199,71.3416,2610170,PLD,REIT
2019-07-12,79.56,80.96,80.03,81.21,70.4699,3177698,PLD,REIT
2019-07-15,79.9,80.47,79.94,81.02,70.3907,2949231,PLD,REIT
2019-07-16,79.17,80.25,81.46,82.28,71.7291,3720223,PLD,REIT
2019-07-17,80.695,81.79,81.61,82.11,71.8612,2011369,PLD,REIT
2019-07-18,81.46,81.75,82.43,82.83,72.5832,1884992,PLD,REIT
2019-07-19,80.66,82.66,80.74,82.88,71.0951,2043861,PLD,REIT
2019-07-22,80.36,80.91,81.18,81.39,71.4825,1644792,PLD,REIT
2019-07-23,81.1,81.49,82.59,82.65,72.7241,2141310,PLD,REIT
2019-07-24,81.8,82.47,82.26,82.64,72.4335,2103846,PLD,REIT
2019-07-25,81.04,82.18,81.45,82.2499,71.7203,1925983,PLD,REIT
2019-07-26,81.19,81.5,82.11,82.2,72.3014,1653256,PLD,REIT
2019-07-29,82.13,82.38,82.63,83.31,72.7593,1845131,PLD,REIT
2019-07-30,81.45,82.52,82.01,83.12,72.2134,1398429,PLD,REIT
2019-07-31,80.03,81.8,80.61,82.5,70.9806,3302142,PLD,REIT
2019-08-01,80.03,80.52,80.78,81.85,71.1303,2339963,PLD,REIT
2019-08-02,80.18,80.85,80.51,80.95,70.8926,1773832,PLD,REIT
2019-08-05,77.5,80.0,78.64,80.0,69.246,2706495,PLD,REIT
2019-08-06,78.59,78.84,79.95,80.41,70.3995,2886744,PLD,REIT
2019-08-07,78.38,79.48,80.5,81.09,70.8838,2040633,PLD,REIT
2019-08-08,80.0,80.65,82.17,82.33,72.3543,2163717,PLD,REIT
2019-08-09,80.35,81.75,81.83,82.34,72.0549,2788067,PLD,REIT
2019-08-12,81.22,81.6,81.69,82.16,71.9316,1433301,PLD,REIT
2019-08-13,81.11,81.99,81.82,82.49,72.0461,1821131,PLD,REIT
2019-08-14,80.16,81.2,80.26,81.65,70.6724,2270962,PLD,REIT
2019-08-15,79.39,80.15,81.21,81.33,71.5089,2248306,PLD,REIT
2019-08-16,80.98,81.87,82.39,82.6,72.548,4364437,PLD,REIT
2019-08-19,82.63,82.87,83.86,84.08,73.8424,1730708,PLD,REIT
2019-08-20,82.39,83.94,82.45,84.09,72.6008,1675205,PLD,REIT
2019-08-21,82.45,83.01,83.3,83.94,73.3493,1501482,PLD,REIT
2019-08-22,82.84,83.42,83.99,84.2,73.9569,1359887,PLD,REIT
2019-08-23,81.47,84.22,81.89,84.22,72.1077,2183079,PLD,REIT
